"","GEOID","white","hisp","no_income","poverty"
"1","060014001001",2394,NA,NA,NA
"2","060014002001",829,NA,NA,NA
"3","060014002002",748,NA,NA,NA
"4","060014003001",810,NA,NA,NA
"5","060014003002",1069,NA,NA,NA
"6","060014003003",657,NA,NA,NA
"7","060014003004",1212,NA,NA,NA
"8","060014004001",1310,NA,NA,NA
"9","060014004002",533,NA,NA,NA
"10","060014004003",905,NA,NA,NA
"11","060014005001",1338,NA,NA,NA
"12","060014005002",347,NA,NA,NA
"13","060014005003",351,NA,NA,NA
"14","060014006001",485,NA,NA,NA
"15","060014006002",451,NA,NA,NA
"16","060014007001",494,NA,NA,NA
"17","060014007002",722,NA,NA,NA
"18","060014007003",341,NA,NA,NA
"19","060014007004",626,NA,NA,NA
"20","060014008001",511,NA,NA,NA
"21","060014008002",366,NA,NA,NA
"22","060014008003",950,NA,NA,NA
"23","060014009001",608,NA,NA,NA
"24","060014009002",630,NA,NA,NA
"25","060014010001",429,NA,NA,NA
"26","060014010002",284,NA,NA,NA
"27","060014010003",819,NA,NA,NA
"28","060014010004",202,NA,NA,NA
"29","060014010005",422,NA,NA,NA
"30","060014010006",347,NA,NA,NA
"31","060014011001",242,NA,NA,NA
"32","060014011002",1068,NA,NA,NA
"33","060014011003",325,NA,NA,NA
"34","060014011004",852,NA,NA,NA
"35","060014012001",850,NA,NA,NA
"36","060014012002",490,NA,NA,NA
"37","060014012003",432,NA,NA,NA
"38","060014013001",439,NA,NA,NA
"39","060014013002",584,NA,NA,NA
"40","060014013003",614,NA,NA,NA
"41","060014014001",422,NA,NA,NA
"42","060014014002",729,NA,NA,NA
"43","060014014003",359,NA,NA,NA
"44","060014015001",353,NA,NA,NA
"45","060014015002",487,NA,NA,NA
"46","060014015003",268,NA,NA,NA
"47","060014016001",518,NA,NA,NA
"48","060014016002",298,NA,NA,NA
"49","060014017001",436,NA,NA,NA
"50","060014017002",977,NA,NA,NA
"51","060014017003",17,NA,NA,NA
"52","060014018001",383,NA,NA,NA
"53","060014018002",271,NA,NA,NA
"54","060014022001",486,NA,NA,NA
"55","060014022002",141,NA,NA,NA
"56","060014022003",202,NA,NA,NA
"57","060014024001",547,NA,NA,NA
"58","060014024002",239,NA,NA,NA
"59","060014025001",204,NA,NA,NA
"60","060014025002",7,NA,NA,NA
